Region,CBSA Code,Pop Density,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
VA-Virginia Beach Suburban,47260,398.92,"186,398","193,586","197,935","202,250","209,694","217,604","222,462","230,671","238,677","242,801","228,693","235,635","241,169","246,642","253,179","263,989","273,158","275,686","279,082","268,259","265,105","268,150","269,807","273,290","277,580","277,399","278,796","286,822"
VA-Virginia Beach Urban,47260,"2,657.77","465,869","471,900","477,464","471,116","472,884","473,277","466,803","471,131","478,654","478,165","480,411","484,917","489,051","488,956","490,559","496,781","502,676","512,300","513,336","492,417","505,500","510,091","511,943","516,706","519,844","514,774","517,604","526,562"
RI-Providence,39300,"1,364.20","731,505","706,256","713,754","720,944","723,004","724,272","734,419","753,255","764,278","773,223","786,239","783,779","791,467","799,532","799,591","807,810","816,844","816,332","795,386","766,420","759,576","756,202","760,590","766,702","779,130","790,851","796,986","808,339"
RI-Providence Suburban,39300,842.3,"180,988","174,703","177,944","179,051","178,463","179,496","184,091","190,280","193,073","197,598","199,431","198,530","199,735","202,511","201,694","204,493","206,725","207,265","200,332","192,553","188,916","186,372","186,670","188,479","190,685","193,148","193,815","196,255"
RI-Providence Urban,39300,"1,886.10","550,517","531,553","535,810","541,893","544,541","544,776","550,328","562,975","571,205","575,625","586,808","585,249","591,732","597,021","597,897","603,317","610,119","609,067","595,054","573,867","570,660","569,830","573,920","578,223","588,445","597,703","603,171","612,084"
WI-Milwaukee,33340,"1,434.38","712,599","703,630","721,468","734,759","750,573","766,448","778,655","788,083","788,050","785,995","771,315","763,996","751,235","748,770","747,280","744,046","754,748","764,734","765,830","732,859","744,377","751,646","755,716","762,600","775,489","782,824","790,860","802,770"
WI-Milwaukee Suburban,33340,603.83,"259,261","260,025","271,023","280,730","292,103","303,411","312,995","319,180","322,790","325,881","317,419","316,869","314,268","315,613","317,585","318,657","325,714","322,237","323,185","309,361","315,543","318,382","320,304","323,327","329,335","332,889","336,385","343,788"
WI-Milwaukee Urban,33340,"3,926.00","453,338","443,605","450,445","454,029","458,470","463,037","465,660","468,903","465,260","460,114","453,896","447,127","436,967","433,157","429,695","425,389","429,034","442,497","442,645","423,498","428,834","433,264","435,412","439,273","446,154","449,935","454,475","458,982"
FL-Jacksonville,27260,"1,352.00","457,158","458,109","462,458","473,963","492,948","511,003","517,092","528,862","543,529","555,636","570,005","573,331","564,661","568,867","582,658","611,676","636,270","648,004","646,302","612,993","622,208","633,405","646,370","659,391","671,696","680,930","699,531","732,140"
FL-Jacksonville Suburban,27260,307.1,"101,269","102,695","104,941","109,630","117,135","123,410","126,747","131,581","137,818","143,108","146,145","149,262","149,901","153,964","162,675","175,364","186,266","191,334","193,603","185,339","187,042","191,293","196,631","202,657","208,261","212,779","218,603","230,822"
FL-Jacksonville Urban,27260,"2,919.35","355,889","355,414","357,517","364,333","375,813","387,593","390,345","397,281","405,711","412,528","423,860","424,069","414,760","414,903","419,983","436,312","450,004","456,670","452,699","427,654","435,166","442,112","449,739","456,734","463,435","468,151","480,928","501,318"
OK-Oklahoma City,36420,299.37,"476,124","466,773","470,247","476,710","484,384","497,892","512,184","519,382","526,106","540,748","537,699","540,912","541,309","534,473","543,282","548,926","545,559","537,187","543,631","535,994","586,950","598,676","615,909","621,134","623,249","639,337","638,011","644,954"
OK-Oklahoma City Suburban,36420,180.3,"183,455","180,463","183,056","187,295","191,143","197,680","203,728","207,374","210,500","216,353","220,313","222,935","223,499","221,840","227,042","231,109","230,853","228,143","232,227","230,004","254,464","260,226","267,507","269,686","270,242","278,551","277,947","282,097"
OK-Oklahoma City Urban,36420,"1,013.80","292,669","286,310","287,191","289,415","293,241","300,212","308,456","312,008","315,606","324,395","317,386","317,977","317,810","312,633","316,240","317,817","314,706","309,044","311,404","305,990","332,486","338,450","348,402","351,448","353,007","360,786","360,064","362,857"
TN-Memphis,32820,370.5,"489,455","482,990","482,813","492,288","515,609","534,031","545,457","556,376","568,054","577,527","570,610","569,458","566,924","566,260","558,117","563,310","585,105","594,810","580,391","555,244","573,982","581,463","580,362","569,254","566,574","578,010","590,854","603,129"
TN-Memphis Suburban,32820,153.74,"99,918","98,295","99,227","103,139","108,549","113,252","117,456","122,201","125,802","128,862","135,863","136,095","135,794","139,388","142,535","146,225","149,759","153,700","153,933","145,201","151,976","156,131","155,781","152,054","152,466","158,265","161,841","164,905"
TN-Memphis Urban,32820,"1,129.15","389,537","384,695","383,586","389,149","407,060","420,779","428,001","434,175","442,252","448,665","434,747","433,363","431,130","426,872","415,582","417,085","435,346","441,110","426,458","410,043","422,006","425,332","424,581","417,200","414,108","419,745","429,013","438,224"
NC-Raleigh,39580,"1,159.43","308,829","315,276","326,755","337,746","351,921","365,605","392,074","412,701","426,625","440,961","444,815","450,163","442,329","453,396","463,388","479,811","508,379","523,921","534,660","516,665","539,208","549,109","568,544","583,551","603,910","624,446","650,277","669,106"
NC-Raleigh Suburban,39580,213.4,"42,787","43,468","44,847","45,959","47,456","49,384","53,036","56,066","58,456","61,005","62,432","63,186","62,490","64,022","65,728","67,718","71,163","72,010","73,394","70,719","73,591","74,629","76,485","78,268","80,816","83,525","86,893","90,069"
NC-Raleigh Urban,39580,"1,632.45","266,042","271,808","281,908","291,787","304,465","316,221","339,038","356,635","368,169","379,956","382,383","386,977","379,839","389,374","397,660","412,093","437,216","451,911","461,266","445,946","465,617","474,480","492,059","505,283","523,094","540,921","563,384","579,037"
KY-Louisville,31140,593.39,"509,564","502,796","512,006","523,098","538,403","547,042","550,364","564,817","575,510","586,013","572,231","557,049","545,983","545,493","549,628","556,285","568,643","571,817","567,636","549,754","564,311","568,183","580,996","590,049","593,182","597,770","614,358","633,120"
KY-Louisville Suburban,31140,395.71,"161,257","161,008","165,834","173,548","182,064","187,416","189,810","195,294","199,783","204,652","203,624","200,662","199,280","201,228","202,394","206,394","213,696","214,273","214,122","206,026","203,605","205,026","207,874","212,156","216,827","221,683","228,358","233,003"
KY-Louisville Urban,31140,"1,581.80","348,307","341,788","346,172","349,550","356,339","359,626","360,554","369,523","375,727","381,361","368,607","356,387","346,703","344,265","347,234","349,891","354,947","357,544","353,514","343,728","360,706","363,157","373,122","377,893","376,355","376,087","386,000","400,117"
VA-Richmond,40060,741.36,"476,790","481,085","485,046","487,828","501,639","507,494","501,552","509,697","518,725","526,509","536,610","538,884","540,043","543,701","554,717","570,318","586,084","595,965","603,551","575,851","578,495","590,550","600,052","607,693","619,579","625,130","636,068","649,630"
VA-Richmond Suburban,40060,162.34,"219,772","224,954","230,728","232,116","241,601","246,966","246,366","251,805","260,141","266,739","269,369","272,171","275,539","279,845","287,504","297,485","308,441","311,230","315,729","300,966","298,208","304,337","307,984","311,440","317,277","319,959","325,287","332,538"
VA-Richmond Urban,40060,"2,131.02","257,018","256,131","254,318","255,712","260,038","260,528","255,186","257,892","258,584","259,770","267,241","266,713","264,504","263,856","267,213","272,833","277,643","284,735","287,822","274,885","280,287","286,213","292,068","296,253","302,302","305,171","310,781","317,092"
LA-New Orleans,35380,548.7,"553,198","558,493","545,151","545,370","560,024","569,815","582,524","599,295","609,246","608,382","604,095","593,261","580,229","580,400","587,247","8,067","7,846","501,031","517,366","507,787","526,510","525,643","531,987","544,364","560,143","569,302","565,724","568,419"
LA-New Orleans Suburban,35380,149.52,"145,943","149,076","147,485","149,804","156,395","161,526","168,203","175,998","181,306","183,338","182,767","182,093","181,012","183,737","189,054","8,067","7,846","185,389","184,090","175,685","177,742","176,565","178,481","182,348","187,923","191,621","190,400","192,147"
LA-New Orleans Urban,35380,"1,746.25","407,255","409,417","397,666","395,566","403,629","408,289","414,321","423,297","427,940","425,044","421,328","411,168","399,217","396,663","398,193", -   , -   ,"315,642","333,276","332,102","348,768","349,078","353,506","362,016","372,220","377,681","375,324","376,272"
CT-Hartford,25540,"1,403.33","597,770","593,718","576,690","570,174","561,650","549,122","549,829","552,770","555,933","565,079","583,848","578,687","573,466","568,444","568,172","577,602","591,952","600,885","603,746","595,600","598,108","600,897","594,402","592,709","605,465","613,284","617,044","630,933"
CT-Hartford Suburban,25540,372.2,"71,674","71,284","69,633","69,024","68,435","66,795","67,314","68,132","68,592","70,085","75,241","75,188","75,467","75,590","76,061","77,419","79,562","80,742","81,192","80,813","79,357","79,551","78,192","77,653","79,430","80,717","81,153","83,107"
CT-Hartford Urban,25540,"1,918.90","526,096","522,434","507,057","501,150","493,215","482,327","482,515","484,638","487,341","494,994","508,607","503,499","497,999","492,854","492,111","500,183","512,390","520,143","522,554","514,787","518,751","521,346","516,210","515,056","526,035","532,567","535,891","547,826"
UT-Salt Lake City,41620,697.75,"368,837","378,577","393,527","417,562","437,774","451,279","459,014","472,307","478,658","485,859","490,531","491,305","486,693","489,598","498,222","520,747","544,570","563,077","565,634","540,628","531,472","535,445","553,337","572,690","583,029","595,824","615,750","633,216"
UT-Salt Lake City Suburban,41620,8.4,"11,712","11,470","11,876","11,491","10,988","10,836","11,134","11,240","11,424","11,619","19,518","20,371","20,907","21,788","22,658","24,068","25,437","26,153","26,862","25,975","25,163","25,330","26,087","26,994","27,566","28,401","29,357","30,675"
UT-Salt Lake City Urban,41620,"1,387.10","357,125","367,107","381,651","406,071","426,786","440,443","447,880","461,067","467,234","474,240","471,013","470,934","465,786","467,810","475,564","496,679","519,133","536,924","538,772","514,653","506,309","510,115","527,250","545,696","555,463","567,423","586,393","602,541"
AL-Brimingham,13820,662.03,"434,894","433,962","441,704","450,032","462,769","476,158","486,005","499,811","506,725","507,527","506,856","504,545","498,137","498,903","503,592","508,760","515,498","515,538","506,243","472,489","486,787","495,500","502,458","505,146","504,054","503,031","505,743","513,043"
AL-Brimingham Suburban,13820,294.12,"88,035","87,359","89,587","91,526","94,690","98,307","100,870","103,365","104,529","105,139","110,836","111,099","110,119","110,477","111,897","113,717","115,773","115,892","114,076","106,463","106,050","107,857","109,280","109,729","108,927","108,840","109,491","111,269"
AL-Brimingham Urban,13820,"1,581.80","346,859","346,603","352,117","358,506","368,079","377,851","385,135","396,446","402,196","402,388","396,020","393,446","388,018","388,426","391,695","395,043","399,725","399,646","392,167","366,026","380,737","387,643","393,178","395,417","395,127","394,191","396,252","401,774"
NY-Buffalo,15380,647.9,"557,094","545,769","542,245","540,595","543,697","543,862","549,466","557,573","553,557","547,200","550,189","541,305","549,108","547,322","549,907","553,310","554,345","548,920","552,888","535,654","524,429","518,074","519,297","520,865","518,322","521,124","519,768","520,212"
NY-Buffalo Suburban,15380,647.9,"557,094","545,769","542,245","540,595","543,697","543,862","549,466","557,573","553,557","547,200","550,189","541,305","549,108","547,322","549,907","553,310","554,345","548,920","552,888","535,654","524,429","518,074","519,297","520,865","518,322","521,124","519,768","520,212"
NY-Buffalo Urban,15380,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
NY-Rochester,40380,796.57,"516,283","517,147","516,470","524,275","524,020","526,386","533,708","542,595","544,686","538,996","523,393","518,558","515,756","513,253","514,802","522,666","522,281","517,276","518,220","501,833","501,994","497,253","498,960","499,831","496,503","500,241","499,065","498,081"
NY-Rochester Suburban,40380,168.1,"108,291","109,069","109,642","112,102","113,021","114,299","116,617","118,897","119,423","118,869","114,692","113,936","113,848","113,809","114,709","116,790","116,983","115,400","115,444","112,180","110,921","109,621","109,788","109,901","109,355","110,279","110,257","110,077"
NY-Rochester Urban,40380,"2,053.50","407,992","408,078","406,828","412,173","410,999","412,087","417,091","423,698","425,263","420,127","408,701","404,622","401,908","399,444","400,093","405,876","405,298","401,876","402,776","389,653","391,073","387,632","389,172","389,930","387,148","389,962","388,808","388,004"
MI-Grand Rapids,24340,412.73,"396,939","389,854","397,569","420,637","439,754","453,012","462,096","483,386","497,518","515,880","500,596","491,871","473,594","468,514","479,640","488,145","489,487","484,769","475,382","442,850","460,486","468,406","481,602","495,668","514,788","531,420","547,929","551,209"
MI-Grand Rapids Suburban,24340,412.73,"396,939","389,854","397,569","420,637","439,754","453,012","462,096","483,386","497,518","515,880","500,596","491,871","473,594","468,514","479,640","488,145","489,487","484,769","475,382","442,850","460,486","468,406","481,602","495,668","514,788","531,420","547,929","551,209"
MI-Grand Rapids Urban,24340,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
AZ-Tucson,46060,106.7,"299,908","307,634","318,843","335,703","360,995","376,786","370,664","371,420","379,186","390,493","394,635","396,750","399,541","406,481","418,266","421,815","433,523","441,553","446,795","441,837","434,106","427,335","428,751","427,041","434,481","441,243","448,937","454,292"
AZ-Tucson Suburban,46060,106.7,"299,908","307,634","318,843","335,703","360,995","376,786","370,664","371,420","379,186","390,493","394,635","396,750","399,541","406,481","418,266","421,815","433,523","441,553","446,795","441,837","434,106","427,335","428,751","427,041","434,481","441,243","448,937","454,292"
AZ-Tucson Urban,46060,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
