Region,CBSA Code,Pop Density,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MI-Detroit,19820,"1,163.87","1,945,608","1,909,926","1,953,316","2,004,116","2,047,001","2,062,849","2,107,976","2,136,416","2,173,025","2,205,141","2,216,021","2,140,264","2,068,217","2,053,355","2,050,260","2,055,031","2,033,510","1,998,782","1,931,466","1,791,240","1,772,626","1,773,703","1,804,160","1,831,634","1,862,131","1,904,783","1,955,607","2,017,559"
MI-Detroit Suburban,19820,289.4,"157,501","157,196","163,839","168,850","174,102","177,090","182,795","187,553","194,166","200,165","216,165","210,513","207,109","208,195","209,880","212,620","211,391","207,391","199,584","183,901","183,121","183,382","185,967","188,899","191,950","196,852","202,213","208,616"
MI-Detroit Urban,19820,"2,038.33","1,788,107","1,752,730","1,789,477","1,835,266","1,872,899","1,885,759","1,925,181","1,948,863","1,978,859","2,004,976","1,999,856","1,929,751","1,861,108","1,845,160","1,840,380","1,842,411","1,822,119","1,791,391","1,731,882","1,607,339","1,589,505","1,590,321","1,618,193","1,642,735","1,670,181","1,707,931","1,753,394","1,808,943"
WA-Seattle,42660,577,"1,329,423","1,325,011","1,359,356","1,379,009","1,397,764","1,423,926","1,469,136","1,543,621","1,584,317","1,596,413","1,584,031","1,568,410","1,547,438","1,558,402","1,597,327","1,643,548","1,701,039","1,750,451","1,774,926","1,729,235","1,705,969","1,716,567","1,759,506","1,800,193","1,840,556","1,878,525","1,935,206","1,983,539"
WA-Seattle Suburban,42660,577,"1,329,423","1,325,011","1,359,356","1,379,009","1,397,764","1,423,926","1,469,136","1,543,621","1,584,317","1,596,413","1,584,031","1,568,410","1,547,438","1,558,402","1,597,327","1,643,548","1,701,039","1,750,451","1,774,926","1,729,235","1,705,969","1,716,567","1,759,506","1,800,193","1,840,556","1,878,525","1,935,206","1,983,539"
WA-Seattle Urban,42660,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
MI-Minneapolis,33460,600.19,"1,445,536","1,451,753","1,480,285","1,510,015","1,555,952","1,597,518","1,624,383","1,656,680","1,691,372","1,724,545","1,741,965","1,745,701","1,735,903","1,745,211","1,758,041","1,774,937","1,782,752","1,786,475","1,779,272","1,731,075","1,733,642","1,761,726","1,782,425","1,809,215","1,834,025","1,849,531","1,869,430","1,927,949"
MI-Minneapolis Suburban,33460,298.56,"592,001","603,184","625,312","648,173","677,365","703,849","728,441","751,726","775,638","799,888","814,990","826,409","833,746","849,392","866,714","885,585","898,280","897,918","897,078","872,534","878,413","891,084","899,851","912,150","924,454","932,422","942,566","972,400"
MI-Minneapolis Urban,33460,"2,711.65","853,535","848,569","854,973","861,842","878,587","893,669","895,942","904,954","915,734","924,657","926,975","919,292","902,157","895,819","891,327","889,352","884,472","888,557","882,194","858,541","855,229","870,642","882,574","897,065","909,571","917,109","926,864","955,549"
CA-San Diego ,41740,735.8,"1,158,861","1,131,580","1,126,344","1,123,927","1,139,889","1,145,883","1,170,788","1,220,537","1,265,969","1,308,725","1,323,166","1,349,524","1,369,228","1,382,273","1,408,922","1,425,706","1,436,821","1,446,347","1,452,608","1,408,347","1,352,266","1,367,250","1,399,879","1,422,492","1,444,464","1,474,351","1,496,954","1,521,190"
