Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
SC-Charlotte Suburban,35.2271,-80.8431,16740,465.25,-1.24,1.28,2.37,2.8,1.93,2.73,2.18,0.98,3.29,-0.17,-1.16,-1.08,1.11,0.71,1.8,4.22,1.87,-0.69,-5.54,1.5,1.67,2.57,1.77,3.23,3.66,4.06,2.93
FL-Orlando Suburban,28.5383,-81.3792,36740,202.4,1.91,3.58,5.11,4.63,5.56,5.34,5.57,5.57,5.64,1.46,3.24,1.8,6.03,8.13,7.35,7.81,5.31,1.52,-4.56,-2.4,3.51,4.43,4.72,4.68,3.92,3.57,6.14
TX-San Antonio Suburban,29.4241,-98.4936,41700,204.19,2.93,3.99,5.79,5.96,5.5,3.77,3.9,3.04,4.89,2.11,2.09,2.26,2.15,2.77,3.53,4.2,1.37,2.89,1.04,0.73,2.32,2.71,2.92,3.05,2.61,2.88,3.95
OR-Portland Suburban,45.5122,-122.6587,38900,363.58,0.7,1.41,4.39,6.16,4.51,4.33,4.45,2.66,1.45,-1.41,-1.03,-0.91,-0.12,2.46,3,3.36,1.86,0.88,-4.14,0.33,1.55,-0.13,-0.59,2.78,3.44,4.28,3.8
PA-Pittsburgh Suburban,40.4406,-79.9959,38300,474.56,0.24,1.65,1.23,0.79,1.03,2.16,1.6,0.91,0.73,0.29,1.16,-0.49,-0.26,0.46,0.43,1.28,0.63,1.19,-2.79,-2.83,1.28,1.37,-0.12,0.17,0.42,-0.05,-0.16
CA-Sacremento Suburban,38.5816,-121.4944,40900,183.83,0.81,2.25,0.5,6.55,2.24,2.79,2.65,2.67,5.74,3.35,3.24,2.79,2.4,2.67,3,2.06,1.17,-0.33,-2.86,-2.39,0.27,1.93,1.76,1.62,2.28,2.26,1.78
OH-Cincinnati Suburban,39.1031,-84.512,17140,402.46,0.1,0.94,1.71,2.94,3.13,2.25,4.13,2.7,2.6,0.4,0.43,0.72,1.9,2.25,2.11,1.19,0.46,-0.49,-4.04,0,0.65,0.94,0.65,1.25,0.93,1.26,2.61
NV-Las Vegas Suburban,36.1699,-115.1398,29820,676.2,4.75,3.36,5.93,8.59,5.33,7.79,7.51,5.37,6.17,3.32,3.87,1.53,3.04,4.42,5.16,5.66,3.09,0.75,-6.41,-0.92,1.76,2.72,2.38,3.34,3.14,1.99,2.96
MO-Kansas City Suburban,39.0997,-94.5786,28140,188.3,1.43,1.46,2.37,5,3.73,2.11,1.53,1.96,2.05,2.19,-0.06,-0.62,0.92,0.7,1.07,1.47,1.21,-0.86,-2.51,5.1,1.02,1.54,0.13,2.48,2.86,1.93,0.25
TX-Austin Suburban,30.2672,-97.7431,12420,217.33,3.27,6.31,7.59,8.78,6.99,7.06,5.57,6.06,7.36,-0.59,3.12,2.32,2.81,4.06,4.5,4.47,2.78,3.28,0.35,4.63,3.8,3.42,4.53,4.33,4.29,3.94,5.24
OH-Cleveland Suburban,41.4993,-81.6944,17460,418.67,-0.09,0.69,1.11,2.86,2.02,2.56,2.86,1.41,1.96,2.52,0.94,-0.75,1.08,0.37,1.24,3.05,0.98,-0.52,-3.43,-3.51,0.58,0.67,0.23,1.26,0.48,-0.01,0.39
OH-Columbus Suburban,39.9612,-82.9988,18140,169.43,-0.85,1.15,1.45,2.87,2.02,1.07,0.21,0.02,1.63,6.12,1,-0.43,-0.26,0.47,1.22,2.32,0.35,-0.91,-4.15,3.13,0.44,0.66,0.24,1.76,0.83,1.4,1.71
IN-Indianapolis Suburban,39.7684,-86.1581,26900,390.87,-0.9,1.88,4.71,5.41,3.21,0.73,2.06,1.56,1.21,-1.03,1.1,1.2,1.88,0.3,1.53,1.97,-0.64,0.61,-4.35,-1.84,1.41,0.84,1.96,3.18,3.18,2.96,1.11
CA-San Jose Suburban,37.3382,-121.8863,41940,39.8,-3.1,1.67,3.2,2.64,3.1,10.15,6.47,0.64,3.2,7.15,-0.48,-6.78,-4.09,-1.27,-0.69,-0.41,-0.73,0.75,-4.65,10.75,2.06,3.13,3.06,3.13,2.22,2.52,2.8
TN-Nashville Suburban,36.1627,-86.7816,34980,185.19,0.94,2.88,6.55,7.29,4.23,3.36,2.67,4.69,3.87,1.09,1.11,1.52,0.86,0.96,2.7,6.62,0.33,-0.5,-3.34,4,3.07,1.75,1.12,2.32,3.69,4.23,5.69
