Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
SC-Charlotte,35.2271,-80.8431,16740,"1,069.36",-0.96,1.29,2.98,3.49,2.71,3.75,2.81,1.22,3.73,1.9,0.35,-0.8,1.57,0.78,2.36,4.91,2.24,0.21,-5.34,4.61,2.37,3.3,2.35,3.56,3.85,4.19,3.08
FL-Orlando,28.5383,-81.3792,36740,"1,740.68",-0.48,2.98,4.02,4.26,3.29,3.64,5.25,4.79,4.35,-2.63,1,-1.28,2.47,4.53,5.79,4.93,2.8,-0.5,-5.77,2.1,2.05,3.2,2.98,3.25,2.18,3.56,4.66
TX-San Antonio,29.4241,-98.4936,41700,351.55,1.42,4.16,3.91,3.93,3.19,1.71,2.75,1.4,2.53,-1.17,0.91,1.5,1.19,1.68,2.36,2.83,1.31,1.77,0.05,4.69,2.25,2.32,2.51,2.45,2.27,3.08,2.94
OR-Portland,45.5122,-122.6587,38900,555.2,1.03,1.43,3.72,5.28,3.45,3.22,3.66,1.91,0.97,0.17,-1.36,-1.46,-0.63,1.09,2.16,3.17,2.46,1.03,-4.01,2.74,2,-0.24,-0.8,2.88,3.47,4.38,3.56
PA-Pittsburgh,40.4406,-79.9959,38300,727.31,0.04,1.11,0.64,0.13,0.33,1.57,1.29,0.38,0.38,-1.03,0.81,-0.83,-0.73,0.02,-0.14,0.87,0.96,0.97,-2.8,-2.5,1.45,1.55,0.02,0.37,0.49,-0.04,-0.13
CA-Sacremento,38.5816,-121.4944,40900,505.58,-0.58,-0.29,0.22,3.23,1.24,2.07,2.64,3.04,4.43,4.21,2.57,2.07,1.68,1.77,2.01,1.28,0.62,-1.01,-3.5,-1.81,0.17,1.98,1.7,1.7,2.27,2.32,1.54
OH-Cincinnati,39.1031,-84.512,17140,828.32,-0.44,0.25,0.67,1.57,1.62,1.59,2.56,1.36,1.28,-0.11,-0.07,-0.14,0.96,0.98,1.16,1.57,1.27,-0.43,-4.44,-2,0.25,0.67,0.52,1.36,0.98,1.12,2.27
NV-Las Vegas,36.1699,-115.1398,29820,676.2,4.75,3.36,5.93,8.59,5.33,7.79,7.51,5.37,6.17,3.32,3.87,1.53,3.04,4.42,5.16,5.66,3.09,0.75,-6.41,-0.92,1.76,2.72,2.38,3.34,3.14,1.99,2.96
MO-Kansas City,39.0997,-94.5786,28140,383.94,0.34,1.16,1.82,3.79,2.39,1.36,2,1.99,1.46,-2.18,-0.9,-0.79,0.92,0.74,0.68,0.75,1.13,-0.87,-2,4.37,0.82,1.38,0.42,2.44,2.35,1.52,0.59
TX-Austin,30.2672,-97.7431,12420,380.74,2.99,5.91,6.36,6.5,5.35,3.8,3.28,4.19,4.96,3.28,0.3,-0.73,0.72,2.65,3.28,3.6,3.02,1.76,-0.3,4.9,3.7,3.8,3.91,3.51,3.15,3.94,3.96
OH-Cleveland,41.4993,-81.6944,17460,"1,128.32",-0.89,-0.23,0.53,1.8,1.51,1.23,1.74,0.73,0.83,0.53,-0.02,-2.05,-0.51,-0.85,-0.14,0.99,0.15,-1.44,-4.68,-0.86,0.01,0.36,-0.22,0.75,0.14,-0.02,-0.12
OH-Columbus,39.9612,-82.9988,18140,"1,292.65",-0.24,1.26,1.01,2.49,2.2,1.02,2.03,1.39,2.19,1.75,1.53,-0.21,-0.04,0.44,1.1,2.49,1.76,-0.34,-3.34,0.65,1.22,1.52,1.3,2.65,1.81,1.39,2.48
IN-Indianapolis,39.7684,-86.1581,26900,850.68,-0.79,1.34,4.33,4.64,2.78,0.46,1.62,1.17,0.68,0.55,1.04,0.57,1.64,-0.12,1.18,2.15,0.38,0.36,-4.54,-2.12,1.73,1.35,2.23,3.34,3.25,2.98,1.13
CA-San Jose,37.3382,-121.8863,41940,710.4,-3.01,-0.53,0.03,1.22,2.42,5.21,4.99,2.18,0.81,-1.53,-2.26,-8.71,-4.79,-0.65,0.37,1.59,2.35,1.56,-4.2,6.22,2.67,3.57,2.96,3.47,2.86,2.09,1.97
TN-Nashville,36.1627,-86.7816,34980,260.77,-0.47,1.94,5.32,6.01,3.4,2.2,1.73,3.33,2.38,0.42,0.27,0.42,0.08,0.16,1.88,5.53,1.95,-1.12,-3.57,5.09,3.02,2,0.94,2.02,3.38,4.24,4.97
VA-Virginia Beach,36.8529,-75.978,47260,"1,245.99",2.03,1.49,-0.3,1.37,1.22,-0.23,1.82,2.21,0.51,-1.65,1.61,1.34,0.74,1.11,2.29,1.98,1.57,0.56,-4.01,1.31,0.99,0.45,1.05,0.94,-0.66,0.53,2.13
RI-Providence,41.824,-71.4128,39300,"1,364.20",-3.45,1.06,1.01,0.29,0.18,1.4,2.56,1.46,1.17,1.68,-0.31,0.98,1.02,0.01,1.03,1.12,-0.06,-2.57,-3.64,-0.89,-0.44,0.58,0.8,1.62,1.5,0.78,1.42
