CBSA,CBSA Code,Pop Density,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MO-Kansas City Urban,28140,"1,101.30",-0.08%,1.05%,1.60%,3.31%,1.85%,1.05%,2.20%,2.00%,1.21%,-4.00%,-1.26%,-0.87%,0.92%,0.75%,0.51%,0.42%,1.09%,-0.87%,-1.77%,4.04%,0.73%,1.31%,0.56%,2.42%,2.12%,1.33%,0.75%
TX-Austin,12420,380.74,2.99%,5.91%,6.36%,6.50%,5.35%,3.80%,3.28%,4.19%,4.96%,3.28%,0.30%,-0.73%,0.72%,2.65%,3.28%,3.60%,3.02%,1.76%,-0.30%,4.90%,3.70%,3.80%,3.91%,3.51%,3.15%,3.94%,3.96%
TX-Austin Suburban,12420,217.33,3.27%,6.31%,7.59%,8.78%,6.99%,7.06%,5.57%,6.06%,7.36%,-0.59%,3.12%,2.32%,2.81%,4.06%,4.50%,4.47%,2.78%,3.28%,0.35%,4.63%,3.80%,3.42%,4.53%,4.33%,4.29%,3.94%,5.24%
TX-Austin Urban,12420,"1,034.40",2.87%,5.74%,5.83%,5.51%,4.60%,2.29%,2.18%,3.26%,3.73%,5.34%,-1.12%,-2.32%,-0.42%,1.86%,2.58%,3.08%,3.17%,0.85%,-0.69%,5.06%,3.64%,4.03%,3.54%,3.02%,2.43%,3.94%,3.16%
OH-Cleveland,17460,"1,128.32",-0.89%,-0.23%,0.53%,1.80%,1.51%,1.23%,1.74%,0.73%,0.83%,0.53%,-0.02%,-2.05%,-0.51%,-0.85%,-0.14%,0.99%,0.15%,-1.44%,-4.68%,-0.86%,0.01%,0.36%,-0.22%,0.75%,0.14%,-0.02%,-0.12%
OH-Cleveland Suburban,17460,418.67,-0.09%,0.69%,1.11%,2.86%,2.02%,2.56%,2.86%,1.41%,1.96%,2.52%,0.94%,-0.75%,1.08%,0.37%,1.24%,3.05%,0.98%,-0.52%,-3.43%,-3.51%,0.58%,0.67%,0.23%,1.26%,0.48%,-0.01%,0.39%
OH-Cleveland Urban,17460,"2,192.80",-1.13%,-0.51%,0.35%,1.48%,1.36%,0.81%,1.38%,0.51%,0.46%,-0.14%,-0.35%,-2.50%,-1.08%,-1.30%,-0.65%,0.21%,-0.17%,-1.80%,-5.18%,0.22%,-0.22%,0.23%,-0.39%,0.54%,0.01%,-0.02%,-0.33%
OH-Columbus,18140,"1,292.65",-0.24%,1.26%,1.01%,2.49%,2.20%,1.02%,2.03%,1.39%,2.19%,1.75%,1.53%,-0.21%,-0.04%,0.44%,1.10%,2.49%,1.76%,-0.34%,-3.34%,0.65%,1.22%,1.52%,1.30%,2.65%,1.81%,1.39%,2.48%
OH-Columbus Suburban,18140,169.43,-0.85%,1.15%,1.45%,2.87%,2.02%,1.07%,0.21%,0.02%,1.63%,6.12%,1.00%,-0.43%,-0.26%,0.47%,1.22%,2.32%,0.35%,-0.91%,-4.15%,3.13%,0.44%,0.66%,0.24%,1.76%,0.83%,1.40%,1.71%
OH-Columbus Urban,18140,"2,977.48",-0.11%,1.28%,0.91%,2.40%,2.24%,1.01%,2.43%,1.68%,2.31%,0.83%,1.64%,-0.16%,0.01%,0.43%,1.08%,2.53%,2.07%,-0.22%,-3.17%,0.12%,1.39%,1.70%,1.52%,2.84%,2.01%,1.39%,2.65%
IN-Indianapolis,26900,850.68,-0.79%,1.34%,4.33%,4.64%,2.78%,0.46%,1.62%,1.17%,0.68%,0.55%,1.04%,0.57%,1.64%,-0.12%,1.18%,2.15%,0.38%,0.36%,-4.54%,-2.12%,1.73%,1.35%,2.23%,3.34%,3.25%,2.98%,1.13%
IN-Indianapolis Suburban,26900,390.87,-0.90%,1.88%,4.71%,5.41%,3.21%,0.73%,2.06%,1.56%,1.21%,-1.03%,1.10%,1.20%,1.88%,0.30%,1.53%,1.97%,-0.64%,0.61%,-4.35%,-1.84%,1.41%,0.84%,1.96%,3.18%,3.18%,2.96%,1.11%
IN-Indianapolis Urban,26900,"1,655.35",-0.76%,1.14%,4.20%,4.37%,2.63%,0.36%,1.45%,1.02%,0.49%,1.14%,1.02%,0.34%,1.55%,-0.28%,1.04%,2.22%,0.77%,0.27%,-4.61%,-2.22%,1.85%,1.54%,2.32%,3.39%,3.27%,2.99%,1.13%
CA-San Jose,41940,710.4,-3.01%,-0.53%,0.03%,1.22%,2.42%,5.21%,4.99%,2.18%,0.81%,-1.53%,-2.26%,-8.71%,-4.79%,-0.65%,0.37%,1.59%,2.35%,1.56%,-4.20%,6.22%,2.67%,3.57%,2.96%,3.47%,2.86%,2.09%,1.97%
CA-San Jose Suburban,41940,39.8,-3.10%,1.67%,3.20%,2.64%,3.10%,10.15%,6.47%,0.64%,3.20%,7.15%,-0.48%,-6.78%,-4.09%,-1.27%,-0.69%,-0.41%,-0.73%,0.75%,-4.65%,10.75%,2.06%,3.13%,3.06%,3.13%,2.22%,2.52%,2.80%
CA-San Jose Urban,41940,"1,381.00",-3.01%,-0.58%,-0.04%,1.18%,2.40%,5.09%,4.95%,2.22%,0.75%,-1.76%,-2.32%,-8.76%,-4.81%,-0.63%,0.40%,1.65%,2.43%,1.58%,-4.19%,6.10%,2.69%,3.58%,2.96%,3.47%,2.88%,2.08%,1.95%
TN-Nashville,34980,260.77,-0.47%,1.94%,5.32%,6.01%,3.40%,2.20%,1.73%,3.33%,2.38%,0.42%,0.27%,0.42%,0.08%,0.16%,1.88%,5.53%,1.95%,-1.12%,-3.57%,5.09%,3.02%,2.00%,0.94%,2.02%,3.38%,4.24%,4.97%
TN-Nashville Suburban,34980,185.19,0.94%,2.88%,6.55%,7.29%,4.23%,3.36%,2.67%,4.69%,3.87%,1.09%,1.11%,1.52%,0.86%,0.96%,2.70%,6.62%,0.33%,-0.50%,-3.34%,4.00%,3.07%,1.75%,1.12%,2.32%,3.69%,4.23%,5.69%
TN-Nashville Urban,34980,"1,243.30",-2.04%,0.86%,3.89%,4.47%,2.39%,0.76%,0.52%,1.56%,0.38%,-0.52%,-0.93%,-1.17%,-1.07%,-1.04%,0.60%,3.81%,4.57%,-2.10%,-3.92%,6.84%,2.94%,2.39%,0.67%,1.56%,2.89%,4.25%,3.84%
VA-Virginia Beach,47260,"1,245.99",2.03%,1.49%,-0.30%,1.37%,1.22%,-0.23%,1.82%,2.21%,0.51%,-1.65%,1.61%,1.34%,0.74%,1.11%,2.29%,1.98%,1.57%,0.56%,-4.01%,1.31%,0.99%,0.45%,1.05%,0.94%,-0.66%,0.53%,2.13%
VA-Virginia Beach Suburban,47260,398.92,3.86%,2.25%,2.18%,3.68%,3.77%,2.23%,3.69%,3.47%,1.73%,-5.81%,3.04%,2.35%,2.27%,2.65%,4.27%,3.47%,0.93%,1.23%,-3.88%,-1.18%,1.15%,0.62%,1.29%,1.57%,-0.07%,0.50%,2.88%
VA-Virginia Beach Urban,47260,"2,657.77",1.29%,1.18%,-1.33%,0.38%,0.08%,-1.37%,0.93%,1.60%,-0.10%,0.47%,0.94%,0.85%,-0.02%,0.33%,1.27%,1.19%,1.91%,0.20%,-4.08%,2.66%,0.91%,0.36%,0.93%,0.61%,-0.98%,0.55%,1.73%
RI-Providence,39300,"1,364.20",-3.45%,1.06%,1.01%,0.29%,0.18%,1.40%,2.56%,1.46%,1.17%,1.68%,-0.31%,0.98%,1.02%,0.01%,1.03%,1.12%,-0.06%,-2.57%,-3.64%,-0.89%,-0.44%,0.58%,0.80%,1.62%,1.50%,0.78%,1.42%
RI-Providence Suburban,39300,842.3,-3.47%,1.86%,0.62%,-0.33%,0.58%,2.56%,3.36%,1.47%,2.34%,0.93%,-0.45%,0.61%,1.39%,-0.40%,1.39%,1.09%,0.26%,-3.34%,-3.88%,-1.89%,-1.35%,0.16%,0.97%,1.17%,1.29%,0.35%,1.26%
RI-Providence Urban,39300,"1,886.10",-3.44%,0.80%,1.14%,0.49%,0.04%,1.02%,2.30%,1.46%,0.77%,1.94%,-0.27%,1.11%,0.89%,0.15%,0.91%,1.13%,-0.17%,-2.30%,-3.56%,-0.56%,-0.15%,0.72%,0.75%,1.77%,1.57%,0.91%,1.48%
WI-Milwaukee,33340,"1,434.38",-1.26%,2.54%,1.84%,2.15%,2.12%,1.59%,1.21%,0.00%,-0.26%,-1.87%,-0.95%,-1.67%,-0.33%,-0.20%,-0.43%,1.44%,1.32%,0.14%,-4.31%,1.57%,0.98%,0.54%,0.91%,1.69%,0.95%,1.03%,1.51%
WI-Milwaukee Suburban,33340,603.83,0.29%,4.23%,3.58%,4.05%,3.87%,3.16%,1.98%,1.13%,0.96%,-2.60%,-0.17%,-0.82%,0.43%,0.62%,0.34%,2.21%,-1.07%,0.29%,-4.28%,2.00%,0.90%,0.60%,0.94%,1.86%,1.08%,1.05%,2.20%
WI-Milwaukee Urban,33340,"3,926.00",-2.15%,1.54%,0.80%,0.98%,1.00%,0.57%,0.70%,-0.78%,-1.11%,-1.35%,-1.49%,-2.27%,-0.87%,-0.80%,-1.00%,0.86%,3.14%,0.03%,-4.33%,1.26%,1.03%,0.50%,0.89%,1.57%,0.85%,1.01%,0.99%
FL-Jacksonville,27260,"1,352.00",0.21%,0.95%,2.49%,4.01%,3.66%,1.19%,2.28%,2.77%,2.23%,2.59%,0.58%,-1.51%,0.74%,2.42%,4.98%,4.02%,1.84%,-0.26%,-5.15%,1.50%,1.80%,2.05%,2.01%,1.87%,1.37%,2.73%,4.66%
FL-Jacksonville Suburban,27260,307.1,1.41%,2.19%,4.47%,6.85%,5.36%,2.70%,3.81%,4.74%,3.84%,2.12%,2.13%,0.43%,2.71%,5.66%,7.80%,6.22%,2.72%,1.19%,-4.27%,0.92%,2.27%,2.79%,3.06%,2.77%,2.17%,2.74%,5.59%
FL-Jacksonville Urban,27260,"2,919.35",-0.13%,0.59%,1.91%,3.15%,3.13%,0.71%,1.78%,2.12%,1.68%,2.75%,0.05%,-2.20%,0.03%,1.22%,3.89%,3.14%,1.48%,-0.87%,-5.53%,1.76%,1.60%,1.73%,1.56%,1.47%,1.02%,2.73%,4.24%
OK-Oklahoma City,36420,299.37,-1.96%,0.74%,1.37%,1.61%,2.79%,2.87%,1.41%,1.29%,2.78%,-0.56%,0.60%,0.07%,-1.26%,1.65%,1.04%,-0.61%,-1.53%,1.20%,-1.40%,9.51%,2.00%,2.88%,0.85%,0.34%,2.58%,-0.21%,1.09%
OK-Oklahoma City Suburban,36420,180.3,-1.63%,1.44%,2.32%,2.05%,3.42%,3.06%,1.79%,1.51%,2.78%,1.83%,1.19%,0.25%,-0.74%,2.34%,1.79%,-0.11%,-1.17%,1.79%,-0.96%,10.63%,2.26%,2.80%,0.81%,0.21%,3.07%,-0.22%,1.49%
OK-Oklahoma City Urban,36420,"1,013.80",-2.17%,0.31%,0.77%,1.32%,2.38%,2.75%,1.15%,1.15%,2.78%,-2.16%,0.19%,-0.05%,-1.63%,1.15%,0.50%,-0.98%,-1.80%,0.76%,-1.74%,8.66%,1.79%,2.94%,0.87%,0.44%,2.20%,-0.20%,0.78%
TN-Memphis,32820,370.5,-1.32%,-0.04%,1.96%,4.74%,3.57%,2.14%,2.00%,2.10%,1.67%,-1.20%,-0.20%,-0.44%,-0.12%,-1.44%,0.93%,3.87%,1.66%,-2.42%,-4.33%,3.37%,1.30%,-0.19%,-1.91%,-0.47%,2.02%,2.22%,2.08%
TN-Memphis Suburban,32820,153.74,-1.62%,0.95%,3.94%,5.25%,4.33%,3.71%,4.04%,2.95%,2.43%,5.43%,0.17%,-0.22%,2.65%,2.26%,2.59%,2.42%,2.63%,0.15%,-5.67%,4.67%,2.73%,-0.22%,-2.39%,0.27%,3.80%,2.26%,1.89%
TN-Memphis Urban,32820,"1,129.15",-1.24%,-0.29%,1.45%,4.60%,3.37%,1.72%,1.44%,1.86%,1.45%,-3.10%,-0.32%,-0.52%,-0.99%,-2.64%,0.36%,4.38%,1.32%,-3.32%,-3.85%,2.92%,0.79%,-0.18%,-1.74%,-0.74%,1.36%,2.21%,2.15%
NC-Raleigh,39580,"1,159.43",2.09%,3.64%,3.36%,4.20%,3.89%,7.24%,5.26%,3.37%,3.36%,0.87%,1.20%,-1.74%,2.50%,2.20%,3.54%,5.95%,3.06%,2.05%,-3.37%,4.36%,1.84%,3.54%,2.64%,3.49%,3.40%,4.14%,2.90%
NC-Raleigh Suburban,39580,213.4,1.59%,3.17%,2.48%,3.26%,4.06%,7.40%,5.71%,4.26%,4.36%,2.34%,1.21%,-1.10%,2.45%,2.66%,3.03%,5.09%,1.19%,1.92%,-3.64%,4.06%,1.41%,2.49%,2.33%,3.26%,3.35%,4.03%,3.66%
NC-Raleigh Urban,39580,"1,632.45",2.17%,3.72%,3.50%,4.34%,3.86%,7.22%,5.19%,3.23%,3.20%,0.64%,1.20%,-1.84%,2.51%,2.13%,3.63%,6.10%,3.36%,2.07%,-3.32%,4.41%,1.90%,3.70%,2.69%,3.52%,3.41%,4.15%,2.78%
KY-Louisville,31140,593.39,-1.33%,1.83%,2.17%,2.93%,1.60%,0.61%,2.63%,1.89%,1.82%,-2.35%,-2.65%,-1.99%,-0.09%,0.76%,1.21%,2.22%,0.56%,-0.73%,-3.15%,2.65%,0.69%,2.26%,1.56%,0.53%,0.77%,2.77%,3.05%
KY-Louisville Suburban,31140,395.71,-0.15%,3.00%,4.65%,4.91%,2.94%,1.28%,2.89%,2.30%,2.44%,-0.50%,-1.45%,-0.69%,0.98%,0.58%,1.98%,3.54%,0.27%,-0.07%,-3.78%,-1.18%,0.70%,1.39%,2.06%,2.20%,2.24%,3.01%,2.03%
KY-Louisville Urban,31140,"1,581.80",-1.87%,1.28%,0.98%,1.94%,0.92%,0.26%,2.49%,1.68%,1.50%,-3.34%,-3.32%,-2.72%,-0.70%,0.86%,0.77%,1.45%,0.73%,-1.13%,-2.77%,4.94%,0.68%,2.74%,1.28%,-0.41%,-0.07%,2.64%,3.66%
VA-Richmond,40060,741.36,0.90%,0.82%,0.57%,2.83%,1.17%,-1.17%,1.62%,1.77%,1.50%,1.92%,0.42%,0.22%,0.68%,2.03%,2.81%,2.76%,1.69%,1.27%,-4.59%,0.46%,2.08%,1.61%,1.27%,1.96%,0.90%,1.75%,2.13%
VA-Richmond Suburban,40060,162.34,2.36%,2.57%,0.60%,4.09%,2.22%,-0.24%,2.21%,3.31%,2.54%,0.99%,1.04%,1.24%,1.56%,2.74%,3.47%,3.68%,0.90%,1.45%,-4.68%,-0.92%,2.06%,1.20%,1.12%,1.87%,0.85%,1.67%,2.23%
VA-Richmond Urban,40060,"2,131.02",-0.35%,-0.71%,0.55%,1.69%,0.19%,-2.05%,1.06%,0.27%,0.46%,2.88%,-0.20%,-0.83%,-0.24%,1.27%,2.10%,1.76%,2.55%,1.08%,-4.49%,1.97%,2.11%,2.05%,1.43%,2.04%,0.95%,1.84%,2.03%
LA-New Orleans,35380,548.7,0.96%,-2.39%,0.04%,2.69%,1.75%,2.23%,2.88%,1.66%,-0.14%,-0.70%,-1.79%,-2.20%,0.03%,1.18%,-0.78%,-2.74%,0.26%,3.26%,-1.85%,3.69%,-0.16%,1.21%,2.33%,2.90%,1.64%,-0.63%,0.48%
LA-New Orleans Suburban,35380,149.52,2.15%,-1.07%,1.57%,4.40%,3.28%,4.13%,4.63%,3.02%,1.12%,-0.31%,-0.37%,-0.59%,1.51%,2.89%,0.08%,-2.74%,-1.72%,-0.70%,-4.57%,1.17%,-0.66%,1.09%,2.17%,3.06%,1.97%,-0.64%,0.92%
LA-New Orleans Urban,35380,"1,746.25",0.53%,-2.87%,-0.53%,2.04%,1.15%,1.48%,2.17%,1.10%,-0.68%,-0.87%,-2.41%,-2.91%,-0.64%,0.39%,-1.18%,-2.74%,1.42%,5.59%,-0.35%,5.02%,0.09%,1.27%,2.41%,2.82%,1.47%,-0.62%,0.25%
CT-Hartford,25540,"1,403.33",-0.68%,-2.87%,-1.13%,-1.49%,-2.23%,0.13%,0.53%,0.57%,1.65%,3.32%,-0.88%,-0.90%,-0.88%,-0.05%,1.66%,2.48%,1.51%,0.48%,-1.35%,0.42%,0.47%,-1.08%,-0.28%,2.15%,1.29%,0.61%,2.25%
CT-Hartford Suburban,25540,372.2,-0.54%,-2.32%,-0.87%,-0.85%,-2.40%,0.78%,1.22%,0.68%,2.18%,7.36%,-0.07%,0.37%,0.16%,0.62%,1.79%,2.77%,1.48%,0.56%,-0.47%,-1.80%,0.24%,-1.71%,-0.69%,2.29%,1.62%,0.54%,2.41%
CT-Hartford Urban,25540,"1,918.90",-0.70%,-2.94%,-1.16%,-1.58%,-2.21%,0.04%,0.44%,0.56%,1.57%,2.75%,-1.00%,-1.09%,-1.03%,-0.15%,1.64%,2.44%,1.51%,0.46%,-1.49%,0.77%,0.50%,-0.99%,-0.22%,2.13%,1.24%,0.62%,2.23%
UT-Salt Lake City,41620,697.75,2.64%,3.95%,6.11%,4.84%,3.08%,1.71%,2.90%,1.34%,1.50%,0.96%,0.16%,-0.94%,0.60%,1.76%,4.52%,4.57%,3.40%,0.45%,-4.42%,-1.69%,0.75%,3.34%,3.50%,1.81%,2.19%,3.34%,2.84%
UT-Salt Lake City Suburban,41620,8.4,-2.07%,3.54%,-3.24%,-4.38%,-1.38%,2.75%,0.95%,1.64%,1.71%,67.98%,4.37%,2.63%,4.21%,3.99%,6.22%,5.69%,2.81%,2.71%,-3.30%,-3.13%,0.66%,2.99%,3.48%,2.12%,3.03%,3.37%,4.49%
UT-Salt Lake City Urban,41620,"1,387.10",2.80%,3.96%,6.40%,5.10%,3.20%,1.69%,2.94%,1.34%,1.50%,-0.68%,-0.02%,-1.09%,0.43%,1.66%,4.44%,4.52%,3.43%,0.34%,-4.48%,-1.62%,0.75%,3.36%,3.50%,1.79%,2.15%,3.34%,2.75%
AL-Brimingham,13820,662.03,-0.21%,1.78%,1.89%,2.83%,2.89%,2.07%,2.84%,1.38%,0.16%,-0.13%,-0.46%,-1.27%,0.15%,0.94%,1.03%,1.32%,0.01%,-1.80%,-6.67%,3.03%,1.79%,1.40%,0.53%,-0.22%,-0.20%,0.54%,1.44%
AL-Brimingham Suburban,13820,294.12,-0.77%,2.55%,2.16%,3.46%,3.82%,2.61%,2.47%,1.13%,0.58%,5.42%,0.24%,-0.88%,0.33%,1.29%,1.63%,1.81%,0.10%,-1.57%,-6.67%,-0.39%,1.70%,1.32%,0.41%,-0.73%,-0.08%,0.60%,1.62%
AL-Brimingham Urban,13820,"1,581.80",-0.07%,1.59%,1.81%,2.67%,2.65%,1.93%,2.94%,1.45%,0.05%,-1.58%,-0.65%,-1.38%,0.11%,0.84%,0.85%,1.19%,-0.02%,-1.87%,-6.67%,4.02%,1.81%,1.43%,0.57%,-0.07%,-0.24%,0.52%,1.39%
NY-Buffalo,15380,647.9,-2.03%,-0.65%,-0.30%,0.57%,0.03%,1.03%,1.48%,-0.72%,-1.15%,0.55%,-1.61%,1.44%,-0.33%,0.47%,0.62%,0.19%,-0.98%,0.72%,-3.12%,-2.10%,-1.21%,0.24%,0.30%,-0.49%,0.54%,-0.26%,0.09%
NY-Buffalo Suburban,15380,647.9,-2.03%,-0.65%,-0.30%,0.57%,0.03%,1.03%,1.48%,-0.72%,-1.15%,0.55%,-1.61%,1.44%,-0.33%,0.47%,0.62%,0.19%,-0.98%,0.72%,-3.12%,-2.10%,-1.21%,0.24%,0.30%,-0.49%,0.54%,-0.26%,0.09%
NY-Buffalo Urban,15380,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY-Rochester,40380,796.57,0.17%,-0.13%,1.51%,-0.05%,0.45%,1.39%,1.67%,0.39%,-1.04%,-2.89%,-0.92%,-0.54%,-0.49%,0.30%,1.53%,-0.07%,-0.96%,0.18%,-3.16%,0.03%,-0.94%,0.34%,0.17%,-0.67%,0.75%,-0.24%,-0.20%
NY-Rochester Suburban,40380,168.1,0.72%,0.53%,2.24%,0.82%,1.13%,2.03%,1.96%,0.44%,-0.46%,-3.51%,-0.66%,-0.08%,-0.03%,0.79%,1.81%,0.17%,-1.35%,0.04%,-2.83%,-1.12%,-1.17%,0.15%,0.10%,-0.50%,0.84%,-0.02%,-0.16%
NY-Rochester Urban,40380,"2,053.50",0.02%,-0.31%,1.31%,-0.28%,0.26%,1.21%,1.58%,0.37%,-1.21%,-2.72%,-1.00%,-0.67%,-0.61%,0.16%,1.45%,-0.14%,-0.84%,0.22%,-3.26%,0.36%,-0.88%,0.40%,0.19%,-0.71%,0.73%,-0.30%,-0.21%
MI-Grand Rapids,24340,412.73,-1.78%,1.98%,5.80%,4.54%,3.01%,2.01%,4.61%,2.92%,3.69%,-2.96%,-1.74%,-3.72%,-1.07%,2.37%,1.77%,0.27%,-0.96%,-1.94%,-6.84%,3.98%,1.72%,2.82%,2.92%,3.86%,3.23%,3.11%,0.60%
MI-Grand Rapids Suburban,24340,412.73,-1.78%,1.98%,5.80%,4.54%,3.01%,2.01%,4.61%,2.92%,3.69%,-2.96%,-1.74%,-3.72%,-1.07%,2.37%,1.77%,0.27%,-0.96%,-1.94%,-6.84%,3.98%,1.72%,2.82%,2.92%,3.86%,3.23%,3.11%,0.60%
MI-Grand Rapids Urban,24340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ-Tucson,46060,106.7,2.58%,3.64%,5.29%,7.53%,4.37%,-1.62%,0.20%,2.09%,2.98%,1.06%,0.54%,0.70%,1.74%,2.90%,0.85%,2.78%,1.85%,1.19%,-1.11%,-1.75%,-1.56%,0.33%,-0.40%,1.74%,1.56%,1.74%,1.19%
AZ-Tucson Suburban,46060,106.7,2.58%,3.64%,5.29%,7.53%,4.37%,-1.62%,0.20%,2.09%,2.98%,1.06%,0.54%,0.70%,1.74%,2.90%,0.85%,2.78%,1.85%,1.19%,-1.11%,-1.75%,-1.56%,0.33%,-0.40%,1.74%,1.56%,1.74%,1.19%
AZ-Tucson Urban,46060,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
