CBSA,CBSA Code,Pop Density,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
PA-Philadelphia Urban,37980,"3,502.93",-2.30%,-0.83%,0.24%,0.73%,-0.08%,1.45%,1.75%,1.08%,0.45%,0.03%,0.40%,-0.93%,-0.93%,0.17%,0.96%,1.16%,0.56%,0.52%,-3.51%,0.92%,0.61%,0.89%,0.41%,1.47%,1.88%,1.55%,0.29%
FL-Miami,33100,"1,143.53",-1.11%,0.61%,3.01%,3.33%,2.22%,2.52%,3.24%,1.92%,1.40%,4.07%,1.89%,-0.60%,0.88%,2.81%,4.10%,3.66%,1.58%,-1.63%,-6.71%,-0.75%,3.21%,3.16%,2.12%,2.77%,1.12%,2.54%,3.30%
FL-Miami Suburban,33100,670.2,-0.40%,0.20%,2.90%,3.42%,2.02%,3.40%,4.10%,3.67%,2.49%,3.97%,3.89%,1.04%,1.28%,2.70%,2.21%,3.05%,0.30%,-2.05%,-6.19%,4.59%,2.14%,2.96%,3.21%,3.38%,1.55%,3.24%,2.76%
FL-Miami Urban,33100,"1,380.20",-1.30%,0.72%,3.04%,3.30%,2.27%,2.30%,3.01%,1.45%,1.10%,4.10%,1.34%,-1.07%,0.76%,2.84%,4.65%,3.83%,1.94%,-1.51%,-6.85%,-2.24%,3.52%,3.22%,1.80%,2.59%,1.00%,2.33%,3.47%
GA-Atlanta,12060,666.38,0.06%,2.16%,4.43%,5.23%,3.57%,4.87%,4.64%,4.65%,3.28%,2.43%,1.34%,-0.22%,0.96%,1.49%,2.67%,3.78%,3.18%,-0.46%,-5.94%,-0.49%,1.92%,2.36%,1.08%,1.86%,2.41%,3.89%,3.88%
GA-Atlanta Suburban,12060,302,1.22%,2.85%,4.86%,6.63%,5.10%,6.81%,6.79%,6.58%,5.17%,3.11%,2.83%,1.72%,2.69%,3.00%,4.56%,4.32%,4.29%,0.71%,-5.72%,1.84%,1.37%,1.65%,1.31%,2.07%,2.59%,3.92%,4.50%
GA-Atlanta Urban,12060,"1,811.57",-0.30%,1.95%,4.30%,4.79%,3.09%,4.25%,3.92%,4.00%,2.62%,2.18%,0.81%,-0.93%,0.30%,0.91%,1.92%,3.56%,2.73%,-0.94%,-6.03%,-1.47%,2.16%,2.66%,0.98%,1.77%,2.33%,3.88%,3.62%
MA-Boston,14460,"3,493.13",-2.85%,-0.44%,1.33%,1.98%,1.74%,2.01%,2.54%,1.83%,1.07%,-1.64%,0.45%,-0.84%,-1.04%,-0.17%,0.21%,0.96%,1.13%,0.18%,-2.11%,1.03%,1.03%,1.24%,0.93%,2.26%,1.88%,1.72%,1.90%
MA-Boston Suburban,14460,503.2,-2.76%,-0.14%,2.75%,3.20%,1.51%,1.76%,2.94%,1.83%,3.21%,-0.27%,0.80%,0.05%,0.32%,1.17%,1.11%,0.28%,1.05%,-0.02%,-2.13%,-0.71%,0.55%,0.86%,0.94%,1.73%,1.82%,1.87%,1.25%
MA-Boston Urban,14460,"5,735.58",-2.87%,-0.51%,1.00%,1.70%,1.80%,2.07%,2.45%,1.84%,0.55%,-1.97%,0.36%,-1.06%,-1.38%,-0.52%,-0.03%,1.13%,1.15%,0.23%,-2.10%,1.48%,1.15%,1.34%,0.92%,2.40%,1.90%,1.68%,2.06%
CA-San Francisco,41860,"4,555.06",-2.20%,-0.54%,0.04%,0.83%,-0.30%,1.88%,3.09%,1.98%,1.96%,5.91%,-0.96%,-3.76%,-2.51%,-0.52%,0.17%,1.02%,1.56%,0.79%,-3.46%,2.45%,1.98%,3.47%,2.37%,2.71%,2.96%,2.50%,1.73%
CA-San Francisco Suburban,41860,485.1,-2.25%,-1.34%,0.10%,-0.63%,-1.03%,1.79%,2.29%,2.01%,1.44%,4.85%,-2.02%,-5.22%,-2.93%,-0.66%,0.51%,1.51%,0.89%,-0.87%,-3.11%,0.42%,1.82%,2.81%,2.27%,1.45%,1.10%,1.42%,0.57%
CA-San Francisco Urban,41860,"5,572.55",-2.19%,-0.49%,0.03%,0.93%,-0.25%,1.89%,3.15%,1.98%,1.99%,5.99%,-0.89%,-3.66%,-2.48%,-0.52%,0.15%,0.99%,1.61%,0.90%,-3.48%,2.58%,1.99%,3.51%,2.37%,2.78%,3.07%,2.56%,1.80%
AZ-Phoenix,38060,242.45,-0.74%,1.25%,5.21%,8.46%,7.78%,4.21%,2.82%,4.66%,3.78%,1.03%,2.56%,2.13%,2.51%,3.20%,4.27%,4.61%,2.00%,-0.53%,-4.01%,-1.29%,-0.34%,1.38%,1.52%,3.43%,3.78%,3.53%,3.28%
AZ-Phoenix Suburban,38060,242.45,-0.74%,1.25%,5.21%,8.46%,7.78%,4.21%,2.82%,4.66%,3.78%,1.03%,2.56%,2.13%,2.51%,3.20%,4.27%,4.61%,2.00%,-0.53%,-4.01%,-1.29%,-0.34%,1.38%,1.52%,3.43%,3.78%,3.53%,3.28%
AZ-Phoenix Urban,38060,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-Riverside,40140,202.65,-1.06%,2.49%,0.76%,2.23%,2.15%,2.18%,4.35%,3.71%,5.41%,-1.17%,3.42%,3.07%,2.78%,4.90%,4.10%,2.57%,0.36%,-2.13%,-4.99%,4.29%,0.78%,2.39%,2.66%,3.38%,3.62%,2.29%,2.76%
CA-Riverside Suburban,40140,202.65,-1.06%,2.49%,0.76%,2.23%,2.15%,2.18%,4.35%,3.71%,5.41%,-1.17%,3.42%,3.07%,2.78%,4.90%,4.10%,2.57%,0.36%,-2.13%,-4.99%,4.29%,0.78%,2.39%,2.66%,3.38%,3.62%,2.29%,2.76%
CA-Riverside Urban,40140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
