Region,Lat,Long,CBSA Code,Pop Density,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
PA-Philadelphia Urban,39.9526,-75.1652,37980,"3,502.93","4,438,782.00","4,448,399.00","4,425,219.00","4,391,780.00","4,368,958.00","4,347,336.00","4,324,233.00","4,296,263.00","4,268,440.00","4,256,174.00","4,236,048.00","4,232,267.00","4,228,820.00","4,228,459.00","4,235,612.00","4,241,944.00","4,269,420.00","4,297,785.00","4,310,736.00","4,308,067.00","4,302,791.00","4,324,866.00","4,340,264.00","4,359,209.00","4,375,668.00","4,384,217.00","4,388,314.00","4,390,066.00","4,403,738.00","4,415,003.00","4,425,063.00","4,432,123.00","4,441,692.00","4,452,085.00","4,463,727.00","4,474,042.00","4,483,948.00","4,498,832.00","4,516,335.00","4,543,496.00","4,565,921.00","4,585,443.00","4,606,157.00","4,619,161.00","4,632,086.00","4,644,686.00","4,654,759.00","4,670,487.00"
FL-Miami,25.7617,-80.1918,33100,"1,143.53","2,262,454.00","2,364,733.00","2,478,805.00","2,604,625.00","2,745,934.00","2,837,565.00","2,884,069.00","2,937,610.00","3,002,948.00","3,121,936.00","3,255,108.00","3,386,320.00","3,449,748.00","3,506,543.00","3,560,287.00","3,632,839.00","3,709,290.00","3,797,122.00","3,891,771.00","3,984,028.00","4,078,578.00","4,176,731.00","4,262,995.00","4,340,175.00","4,445,162.00","4,547,191.00","4,652,414.00","4,750,249.00","4,836,853.00","4,932,004.00","5,025,895.00","5,110,780.00","5,197,205.00","5,261,713.00","5,336,368.00","5,411,148.00","5,429,748.00","5,422,987.00","5,454,633.00","5,504,624.00","5,583,888.00","5,696,288.00","5,780,894.00","5,862,992.00","5,943,656.00","6,026,044.00","6,107,433.00","6,158,824.00"
FL-Miami Suburban,25.7617,-80.1918,33100,670.2,"353,500.00","371,532.00","391,806.00","427,921.00","456,694.00","475,041.00","487,791.00","499,826.00","518,342.00","550,909.00","585,827.00","620,597.00","645,895.00","667,452.00","693,850.00","723,004.00","753,378.00","784,838.00","815,019.00","842,078.00","871,560.00","898,852.00","926,446.00","957,014.00","988,009.00","1,013,781.00","1,040,144.00","1,069,718.00","1,096,123.00","1,116,913.00","1,135,787.00","1,160,474.00","1,191,340.00","1,218,100.00","1,252,223.00","1,278,380.00","1,284,489.00","1,286,586.00","1,294,938.00","1,307,371.00","1,323,753.00","1,337,065.00","1,356,257.00","1,378,497.00","1,402,065.00","1,428,378.00","1,453,768.00","1,471,150.00"
FL-Miami Urban,25.7617,-80.1918,33100,"1,380.20","1,908,954.00","1,993,201.00","2,086,999.00","2,176,704.00","2,289,240.00","2,362,524.00","2,396,278.00","2,437,784.00","2,484,606.00","2,571,027.00","2,669,281.00","2,765,723.00","2,803,853.00","2,839,091.00","2,866,437.00","2,909,835.00","2,955,912.00","3,012,284.00","3,076,752.00","3,141,950.00","3,207,018.00","3,277,879.00","3,336,549.00","3,383,161.00","3,457,153.00","3,533,410.00","3,612,270.00","3,680,531.00","3,740,730.00","3,815,091.00","3,890,108.00","3,950,306.00","4,005,865.00","4,043,613.00","4,084,145.00","4,132,768.00","4,145,259.00","4,136,401.00","4,159,695.00","4,197,253.00","4,260,135.00","4,359,223.00","4,424,637.00","4,484,495.00","4,541,591.00","4,597,666.00","4,653,665.00","4,687,674.00"
GA-Atlanta,33.749,-84.388,12060,666.38,"1,864,741.00","1,923,562.00","1,986,378.00","2,055,163.00","2,109,336.00","2,127,699.00","2,152,827.00","2,194,278.00","2,234,895.00","2,295,682.00","2,351,461.00","2,403,399.00","2,453,630.00","2,516,560.00","2,593,867.00","2,689,451.00","2,784,922.00","2,881,785.00","2,965,369.00","3,033,138.00","3,104,221.00","3,195,398.00","3,291,991.00","3,402,250.00","3,523,718.00","3,644,699.00","3,765,817.00","3,888,398.00","4,021,410.00","4,157,862.00","4,293,475.00","4,402,455.00","4,489,288.00","4,572,541.00","4,659,574.00","4,770,870.00","4,931,848.00","5,066,356.00","5,170,099.00","5,240,828.00","5,303,327.00","5,373,016.00","5,451,561.00","5,517,034.00","5,605,117.00","5,702,331.00","5,795,723.00","5,884,736.00"
GA-Atlanta Suburban,33.749,-84.388,12060,302,"426,319.00","442,921.00","458,084.00","481,616.00","498,189.00","507,068.00","517,591.00","528,222.00","537,012.00","553,236.00","569,719.00","580,640.00","593,387.00","605,293.00","621,571.00","643,640.00","668,982.00","699,777.00","726,090.00","750,163.00","778,362.00","805,719.00","832,017.00","859,151.00","896,236.00","935,693.00","979,011.00","1,024,531.00","1,075,622.00","1,127,169.00","1,178,999.00","1,233,178.00","1,288,028.00","1,341,497.00","1,393,933.00","1,453,796.00","1,525,231.00","1,590,508.00","1,638,417.00","1,666,755.00","1,687,698.00","1,700,129.00","1,712,466.00","1,734,980.00","1,765,482.00","1,797,485.00","1,833,932.00","1,872,462.00"
GA-Atlanta Urban,33.749,-84.388,12060,"1,811.57","1,438,422.00","1,480,641.00","1,528,294.00","1,573,547.00","1,611,147.00","1,620,631.00","1,635,236.00","1,666,056.00","1,697,883.00","1,742,446.00","1,781,742.00","1,822,759.00","1,860,243.00","1,911,267.00","1,972,296.00","2,045,811.00","2,115,940.00","2,182,008.00","2,239,279.00","2,282,975.00","2,325,859.00","2,389,679.00","2,459,974.00","2,543,099.00","2,627,482.00","2,709,006.00","2,786,806.00","2,863,867.00","2,945,788.00","3,030,693.00","3,114,476.00","3,169,277.00","3,201,260.00","3,231,044.00","3,265,641.00","3,317,074.00","3,406,617.00","3,475,848.00","3,531,682.00","3,574,073.00","3,615,629.00","3,672,887.00","3,739,095.00","3,782,054.00","3,839,635.00","3,904,846.00","3,961,791.00","4,012,274.00"
MA-Boston,42.3601,-71.0589,14460,"3,493.13","3,925,960.00","3,953,785.00","3,980,350.00","3,982,923.00","3,969,715.00","3,953,510.00","3,946,727.00","3,947,480.00","3,944,292.00","3,942,627.00","3,947,536.00","3,966,831.00","3,977,190.00","4,006,658.00","4,038,684.00","4,071,846.00","4,088,631.00","4,104,797.00","4,125,311.00","4,139,508.00","4,137,302.00","4,128,150.00","4,137,692.00","4,163,698.00","4,189,180.00","4,230,795.00","4,265,564.00","4,302,696.00","4,337,751.00","4,369,743.00","4,401,256.00","4,432,132.00","4,440,034.00","4,434,723.00","4,424,956.00","4,418,046.00","4,427,356.00","4,447,838.00","4,483,141.00","4,527,220.00","4,565,220.00","4,608,303.00","4,653,023.00","4,699,912.00","4,741,544.00","4,775,755.00","4,805,942.00","4,836,531.00"
MA-Boston Suburban,42.3601,-71.0589,14460,503.2,"545,078.00","554,619.00","578,788.00","597,703.00","611,897.00","620,643.00","628,282.00","646,228.00","663,736.00","676,919.00","683,809.00","690,806.00","696,653.00","702,858.00","714,023.00","725,366.00","739,924.00","755,402.00","769,974.00","780,519.00","787,139.00","783,722.00","787,641.00","797,032.00","805,023.00","813,568.00","824,135.00","833,797.00","844,153.00","853,946.00","865,373.00","875,536.00","884,121.00","888,984.00","892,039.00","896,163.00","900,760.00","904,118.00","907,827.00","910,855.00","914,358.00","918,137.00","921,722.00","926,536.00","933,461.00","937,602.00","943,012.00","950,118.00"
MA-Boston Urban,42.3601,-71.0589,14460,"5,735.58","3,380,882.00","3,399,166.00","3,401,562.00","3,385,220.00","3,357,818.00","3,332,867.00","3,318,445.00","3,301,252.00","3,280,556.00","3,265,708.00","3,263,727.00","3,276,025.00","3,280,537.00","3,303,800.00","3,324,661.00","3,346,480.00","3,348,707.00","3,349,395.00","3,355,337.00","3,358,989.00","3,350,163.00","3,344,428.00","3,350,051.00","3,366,666.00","3,384,157.00","3,417,227.00","3,441,429.00","3,468,899.00","3,493,598.00","3,515,797.00","3,535,883.00","3,556,596.00","3,555,913.00","3,545,739.00","3,532,917.00","3,521,883.00","3,526,596.00","3,543,720.00","3,575,314.00","3,616,365.00","3,650,862.00","3,690,166.00","3,731,301.00","3,773,376.00","3,808,083.00","3,838,153.00","3,862,930.00","3,886,413.00"
CA-San Francisco,37.7749,-122.4194,41860,"4,555.06","3,111,229.00","3,119,238.00","3,134,638.00","3,146,214.00","3,152,351.00","3,158,336.00","3,187,020.00","3,199,296.00","3,213,627.00","3,226,422.00","3,257,524.00","3,295,801.00","3,333,983.00","3,386,083.00","3,428,076.00","3,479,469.00","3,523,875.00","3,558,980.00","3,603,418.00","3,656,983.00","3,719,675.00","3,760,370.00","3,805,588.00","3,839,619.00","3,859,905.00","3,883,894.00","3,923,208.00","3,985,694.00","4,045,185.00","4,089,620.00","4,135,875.00","4,174,788.00","4,158,544.00","4,145,965.00","4,133,400.00","4,137,858.00","4,148,724.00","4,183,637.00","4,243,932.00","4,302,830.00","4,344,810.00","4,399,218.00","4,463,172.00","4,528,717.00","4,595,964.00","4,657,985.00","4,699,077.00","4,727,357.00"
CA-San Francisco Suburban,37.7749,-122.4194,41860,485.1,"208,318.00","207,012.00","207,702.00","215,798.00","211,586.00","216,964.00","220,969.00","223,294.00","223,563.00","222,874.00","222,984.00","223,909.00","223,421.00","223,974.00","223,227.00","222,453.00","224,007.00","224,932.00","226,013.00","229,176.00","230,522.00","233,443.00","235,820.00","238,040.00","239,032.00","239,195.00","238,705.00","241,797.00","244,706.00","246,269.00","247,520.00","247,866.00","246,225.00","245,054.00","243,769.00","244,206.00","244,580.00","246,248.00","248,398.00","250,862.00","252,940.00","255,505.00","256,381.00","258,856.00","261,007.00","261,718.00","261,532.00","260,955.00"
CA-San Francisco Urban,37.7749,-122.4194,41860,"5,572.55","2,902,911.00","2,912,226.00","2,926,936.00","2,930,416.00","2,940,765.00","2,941,372.00","2,966,051.00","2,976,002.00","2,990,064.00","3,003,548.00","3,034,540.00","3,071,892.00","3,110,562.00","3,162,109.00","3,204,849.00","3,257,016.00","3,299,868.00","3,334,048.00","3,377,405.00","3,427,807.00","3,489,153.00","3,526,927.00","3,569,768.00","3,601,579.00","3,620,873.00","3,644,699.00","3,684,503.00","3,743,897.00","3,800,479.00","3,843,351.00","3,888,355.00","3,926,922.00","3,912,319.00","3,900,911.00","3,889,631.00","3,893,652.00","3,904,144.00","3,937,389.00","3,995,534.00","4,051,968.00","4,091,870.00","4,143,713.00","4,206,791.00","4,269,861.00","4,334,957.00","4,396,267.00","4,437,545.00","4,466,402.00"
AZ-Phoenix,33.4484,-112.074,38060,242.45,"1,051,880.00","1,100,221.00","1,163,970.00","1,237,666.00","1,301,948.00","1,337,678.00","1,366,413.00","1,416,923.00","1,476,479.00","1,546,337.00","1,612,899.00","1,658,994.00","1,708,659.00","1,761,814.00","1,837,456.00","1,931,973.00","2,013,324.00","2,102,567.00","2,162,656.00","2,217,534.00","2,249,116.00","2,319,206.00","2,398,760.00","2,491,818.00","2,613,502.00","2,744,046.00","2,855,711.00","2,963,714.00","3,074,532.00","3,178,349.00","3,273,477.00","3,363,736.00","3,452,470.00","3,536,388.00","3,637,332.00","3,774,696.00","3,914,212.00","4,018,128.00","4,106,372.00","4,153,609.00","4,204,148.00","4,247,852.00","4,321,686.00","4,390,565.00","4,470,712.00","4,558,145.00","4,648,498.00","4,737,270.00"
