Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
MO-St Louis Urban,38.627,-90.1994,41180,"2,478.30",-0.70%,-0.80%,-0.02%,3.39%,2.42%,0.62%,-1.79%,-0.63%,-0.17%,1.77%,-0.21%,-0.62%,-0.79%,-1.42%,-0.65%,0.33%,-0.89%,-2.08%,-3.60%,3.23%,1.05%,0.16%,-0.23%,1.75%,2.28%,0.88%,-1.41%
MA-Baltimore Urban,39.2904,-76.6122,12580,"2,864.45",-1.94%,-0.23%,1.27%,0.43%,1.05%,0.73%,1.03%,-0.26%,0.63%,1.93%,0.51%,-0.36%,-0.18%,0.00%,1.19%,1.76%,0.99%,0.17%,-2.15%,-0.06%,1.53%,1.65%,0.94%,0.92%,1.88%,1.57%,1.21%
SC-Charlotte Urban,35.2271,-80.8431,16740,"3,485.80",-0.63%,1.30%,3.70%,4.27%,3.58%,4.88%,3.50%,1.46%,4.19%,4.08%,1.87%,-0.52%,2.03%,0.84%,2.89%,5.56%,2.58%,1.05%,-5.15%,7.48%,2.97%,3.92%,2.85%,3.84%,4.01%,4.29%,3.20%
FL-Orlando Urban,28.5383,-81.3792,36740,"2,253.43",-0.71%,2.92%,3.92%,4.22%,3.07%,3.46%,5.21%,4.71%,4.22%,-3.06%,0.75%,-1.63%,2.05%,4.09%,5.60%,4.56%,2.46%,-0.77%,-5.94%,2.74%,1.85%,3.04%,2.73%,3.04%,1.93%,3.56%,4.44%
TX-San Antonio Urban,29.4241,-98.4936,41700,"1,383.10",1.13%,4.19%,3.54%,3.53%,2.71%,1.27%,2.51%,1.04%,2.00%,-1.92%,0.62%,1.32%,0.95%,1.41%,2.07%,2.48%,1.30%,1.48%,-0.21%,5.74%,2.23%,2.22%,2.41%,2.29%,2.19%,3.13%,2.68%
OR-Portland Urban,45.5122,-122.6587,38900,"1,704.90",1.58%,1.47%,2.61%,3.82%,1.64%,1.25%,2.23%,0.53%,0.06%,3.19%,-1.98%,-2.47%,-1.59%,-1.53%,0.51%,2.77%,3.69%,1.34%,-3.73%,7.57%,2.85%,-0.44%,-1.20%,3.06%,3.52%,4.58%,3.11%
PA-Pittsburgh Urban,40.4406,-79.9959,38300,"1,359.20",-0.09%,0.77%,0.26%,-0.29%,-0.12%,1.19%,1.08%,0.03%,0.15%,-1.93%,0.58%,-1.06%,-1.06%,-0.29%,-0.55%,0.58%,1.21%,0.81%,-2.80%,-2.27%,1.57%,1.69%,0.13%,0.52%,0.54%,-0.03%,-0.11%
CA-Sacremento Urban,38.5816,-121.4944,40900,"1,470.80",-1.18%,-1.41%,0.09%,1.70%,0.76%,1.72%,2.64%,3.22%,3.78%,4.64%,2.25%,1.71%,1.32%,1.32%,1.50%,0.87%,0.32%,-1.38%,-3.84%,-1.50%,0.12%,2.01%,1.67%,1.75%,2.26%,2.35%,1.42%
OH-Cincinnati Urban,39.1031,-84.512,17140,"3,596.40",-1.04%,-0.53%,-0.52%,-0.03%,-0.20%,0.76%,0.56%,-0.39%,-0.49%,-0.82%,-0.78%,-1.38%,-0.41%,-0.91%,-0.31%,2.16%,2.54%,-0.34%,-5.03%,-5.08%,-0.41%,0.23%,0.30%,1.54%,1.08%,0.90%,1.70%
NV-Las Vegas Urban,36.1699,-115.1398,29820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
